aiw	Aari	aari1239
aay	Aariya	aari1240
aiz	Aari	aari1244
aas	Aasax	aasa1238
kbt	Abadi	abad1241
abg	Abaga	abag1245
abf	Abai Sungai	abai1240
abm	Abanyom	aban1242
mij	Abar	abar1238
aau	Abau	abau1245
abq	Abaza	abaz1241
aba	Abé	abee1242
abp	Abenlen Ayta	aben1249
abi	Abidji	abid1235
bsa	Abinomn	abin1243
axb	Abipon	abip1241
ash	Aewa	abis1238
abk	Abkhazian	abkh1244
aob	Abom	abom1238
abo	Abon	abon1238
abr	Abron	abro1238
abn	Abua	abua1244
aah	Abu' Arapesh	abua1245
abz	Abui	abui1241
kgr	Abun	abun1252
abu	Abure	abur1243
mgj	Abureni	abur1244
ado	Abu	abuu1241
tpx	Acatepec Me'phaa	acat1239
acn	Achang	acha1249
aca	Achagua	acha1250
yif	Ache (China)	ache1244
acz	Acheron	ache1245
guq	Aché	ache1246
acr	Achi	achi1256
ace	Achinese	achi1257
acc	Achi', Cubulco	achi1258
act	Achterhoeks	acht1238
acv	Achumawi	achu1247
acu	Achuar-Shiwiar	achu1248
ach	Acoli	acol1236
acs	Acroá	acro1239
adb	Adabe	adab1235
xad	Adai	adai1235
ads	Adamorobe Sign Language	adam1238
fub	Adamawa Fulfulde	adam1253
ada	Adangme	adan1247
adq	Adangbe	adan1248
adn	Adang	adan1251
adp	Adap	adap1234
tiu	Adasen	adas1235
ade	Adele	adel1244
adh	Adhola	adho1243
adj	Adioukrou	adio1239
ort	Adivasi Oriya	adiv1239
gas	Adiwasi Garasia	adiw1235
adt	Adnyamathanha	adny1235
adr	Adonara	adon1237
adu	Aduge	adug1238
ady	Adyghe	adyg1241
adz	Adzera	adze1240
azr	Adzera	adze1241
aez	Aeka (Orokaivan)	aeka1244
awi	Aekyom	aeky1238
aeq	Aer	aerr1238
aal	Afade	afad1236
aar	Afar	afar1241
afg	Afghan Sign Language	afgh1239
aft	Afitti	afit1238
afr	Afrikaans	afri1274
afs	Afro-Seminole Creole	afro1254
agi	Agariya	agar1251
agd	Agarabi	agar1252
agc	Agatu	agat1236
avo	Agavotaguerra	agav1236
agq	Aghem	aghe1239
agx	Aghul	aghu1253
ggr	Aghu Tharnggalu	aghu1254
ahh	Aghu	aghu1255
xag	Aghwan	aghw1237
aif	Agi	agii1245
kit	Agob	agob1244
ibm	Agoi	agoi1246
apf	Agta-Pahanan	agta1234
aga	Aguano	agua1251
agu	Aguacateco	agua1252
agr	Aguaruna	agua1253
aug	Aguna	agun1238
msm	Agusan Manobo	agus1235
agn	Agutaynen	agut1237
yay	Agwagwune	agwa1247
aha	Ahanta	ahan1243
ahn	Àhàn	ahan1244
ahe	Ahe	ahea1240
thm	Aheu	aheu1239
ahr	Ahirani	ahir1243
aho	Ahom	ahom1240
aht	Ahtena	ahte1237
nfd	Ahwai	ahwa1235
aih	Ai-Cham	aich1238
aix	Aighon	aigh1235
tba	Aikanã	aika1237
mwg	Aiklep	aikl1237
mzf	Aiku	aiku1240
aiq	Aimaq	aima1241
ail	Aimele	aime1238
aim	Aimol	aimo1244
aic	Ainbai	ainb1238
ain	Ainu (Japan)	ainu1240
aib	Ainu (China)	ainu1251
aki	Aiome	aiom1240
air	Airoran	airo1242
aio	Aiton	aito1238
ajg	Aja (Benin)	ajab1235
aja	Aja (Sudan)	ajas1235
ajw	Ajawa	ajaw1236
aji	Ajië	ajie1238
cpc	Ajyíninka Apurucayali	ajyi1238
soh	Aka	akaa1242
akm	Aka-Bo	akab1248
abj	Aka-Bea	akab1249
aci	Aka-Cari	akac1240
akj	Aka-Jeru	akaj1239
ack	Aka-Kora	akak1251
akx	Aka-Kede	akak1252
aky	Aka-Kol	akak1253
aka	Akan	akan1250
acl	Akar-Bale	akar1243
aks	Akaselem	akas1242
ake	Akawaio	akaw1239
keu	Akebu	akeb1238
aik	Ake	akee1238
tsr	Akei	akei1237
aeu	Akeu	akeu1235
ahk	Akha	akha1245
akv	Akhvakh	akhv1239
sia	Akkala Sami	akka1237
akk	Akkadian	akka1240
akq	Ak	akkk1240
akl	Aklanon	akla1241
akt	Akolet	akol1237
bss	Akoose	akoo1248
miw	Akoye	akoy1238
akf	Akpa	akpa1238
ibe	Akpes	akpe1248
afi	Akrukay	akru1241
ayk	Akuku	akuk1235
aku	Akum	akum1238
aqz	Akuntsu	akun1241
ako	Akurio	akur1238
akw	Akwa	akwa1248
akz	Alabama	alab1237
dul	Alabat Island Agta	alab1246
alw	Alaba-K'abeena	alab1254
mim	Alacatlatzala Mixtec	alac1244
ala	Alago	alag1242
wbj	Alagwa	alag1248
alk	Alak	alak1253
amp	Alamblak	alam1246
alj	Alangan	alan1249
apv	Alapmunte	alap1235
alh	Alawa	alaw1244
sqi	Albanian	alba1267
bhk	Albay Bicolano	alba1269
sqk	Albanian Sign Language	alba1271
xta	Alcozauca Mixtec	alco1235
alf	Alege	aleg1238
gah	Alekano	alek1238
ale	Aleut	aleu1260
asp	Algerian Sign Language	alge1235
arq	Algerian Arabic	alge1239
aao	Algerian Saharan Arabic	alge1240
alq	Algonquin	algo1255
aiy	Ali	alii1240
all	Allar	alla1247
ald	Alladian	alla1248
aid	Alngith	alng1239
zaq	Aloápam Zapotec	aloa1235
ypo	Alo Phola	alop1235
aol	Alor	alor1247
syy	Al-Sayyid Bedouin Sign Language	alsa1242
aes	Alsea	alse1251
aub	Alugu	alug1235
xua	Alu Kurumba	aluk1238
aab	Alumu-Tesu	alum1246
alp	Alune	alun1238
yna	Aluo	aluo1235
alz	Alur	alur1250
alr	Alutor	alut1245
avd	Alviri-Vidari	alvi1241
aly	Alyawarr	alya1239
amq	Amahai	amah1245
amc	Amahuaca	amah1246
ali	Amaimon	amai1246
aad	Amal	amal1242
amn	Amanab	aman1265
ama	Amanayé	aman1266
amm	Ama (Papua New Guinea)	amap1240
amd	Amapá Creole	amap1241
amg	Amurdak	amar1271
aie	Amara	amar1272
aaz	Amarasi	amar1273
amr	Amarakaeri	amar1274
nyi	Ama (Sudan)	amas1236
zpo	Amatlán Zapotec	amat1238
rwm	Amba (Uganda)	amba1263
amk	Ambai	amba1265
utp	Amba (Solomon Islands)	amba1266
abc	Ambala Ayta	amba1267
aew	Ambakich	amba1269
ael	Ambele	ambe1247
amv	Ambelau	ambe1248
alm	Amblong	ambl1237
amb	Ambo	ambo1249
abs	Ambonese Malay	ambo1250
qva	Ambo-Pasco Quechua	ambo1252
aag	Ambrak	ambr1239
abt	Ambulas	ambu1247
amj	Amdang	amda1238
adx	Amdo Tibetan	amdo1237
aey	Amele	amel1241
ase	American Sign Language	amer1248
aex	Amerax	amer1256
ifa	Amganad Ifugao	amga1235
amh	Amharic	amha1245
amy	Ami	amii1238
akn	Amikoana	amik1238
ami	Amis	amis1246
qgg	Ammonite	ammo1234
alx	Amol	amol1235
mbz	Amoltepec Mixtec	amol1236
amo	Amo	amoo1242
aqd	Ampari Dogon	ampa1238
apg	Ampanang	ampa1239
ajz	Amri Karbi	amri1238
amt	Amto	amto1250
adw	Amundava	amun1246
anw	Anaang	anaa1238
akg	Anakalangu	anak1240
anm	Anal	anal1239
pda	Anam	anam1247
imi	Anamgura	anam1248
aan	Anambé	anam1249
bpo	Anasi	anas1239
dti	Ana Tinga Dogon	anat1248
acb	Áncá	anca1236
grc	Ancient Greek	anci1242
hbo	Ancient Hebrew	anci1244
xna	Ancient North Arabian	anci1245
hca	Andaman Creole Hindi	anda1280
afd	Andai	anda1283
aod	Andarum	anda1284
ana	Andaqui	anda1286
xaa	Andalusian Arabic	anda1287
adg	Andegerebinha	ande1247
anr	Andh	andh1242
ani	Andi	andi1255
bzb	Andio	andi1257
anb	Andoa	ando1255
ano	Andoque	ando1256
anx	Andra-Hus	andr1248
aty	Anejom	anei1239
aby	Aneme Wake	anem1248
anz	Anem	anem1249
myo	Anfillo	anfi1235
njm	Angami Naga	anga1288
agm	Angaataha	anga1290
akh	Angal Heneng	anga1292
age	Angal	anga1293
aoe	Angal Enen	anga1294
yli	Angguruk Yali	angg1239
anp	Angika	angi1238
rme	Angloromani	angl1239
xno	Anglo-Norman	angl1258
agg	Angor	ango1254
aog	Angoram	ango1255
tnd	Angosturas Tunebo	ango1257
aoa	Angolar	ango1258
awg	Anguthimri	angu1242
blo	Anii	anii1245
hnh	//Ani	anii1246
anf	Animere	anim1239
aoi	Anindilyakwa	anin1240
ypn	Ani Phowa	anip1235
boj	Anjam	anja1238
aak	Ankave	anka1246
amx	Anmatyerre	anma1239
anj	Anor	anor1241
ans	Anserma	anse1238
and	Ansus	ansu1237
ant	Antakarinya	anta1253
xmv	Antankarana Malagasy	anta1255
aig	Antigua and Barbuda Creole English	anti1245
anu	Anuak	anua1242
cko	Anufo	anuf1239
aui	Anuki	anuk1239
auq	Anus	anus1237
aud	Anuta	anut1237
anl	Anu	anuu1241
mtb	Anyin Morofo	anyi1244
any	Anyin	anyi1245
pni	Aoheng	aohe1237
njo	Ao Naga	aona1235
aor	Aore	aore1237
aou	A'ou	aoua1234
xap	Apalachee	apal1237
apo	Apalik	apal1255
ena	Apali	apal1256
apy	Apalaí	apal1257
mip	Apasco-Apoala Mixtec	apas1235
apt	Apatani	apat1240
api	Apiaká	apia1248
apn	Apinayé	apin1244
app	Apma	apma1240
kbx	Ap Ma	apma1241
ahp	Aproumu Aizi	apro1235
apq	A-Pucikwar	apuc1241
apu	Apurinã	apur1254
apx	Aputai	aput1237
ard	Arabana	arab1267
arl	Arabela	arab1268
arf	Arafundi	araf1244
arg	Aragonese	arag1245
akr	Araki (Vanuatu)	arak1252
rkw	Arakwal	arak1254
mhv	Arakanese	arak1256
atq	Aralle-Tabulahan	aral1243
aam	Aramanik	aram1252
stk	Arammba	aram1253
jbj	Arandai	aran1237
aaf	Aranadan	aran1261
aro	Araona	arao1248
arp	Arapaho	arap1274
arj	Arapaso	arap1275
awm	Arawum	araw1272
awt	Araweté	araw1273
arw	Lokono	araw1276
aae	Arbëreshë Albanian	arbe1236
arv	Arbore	arbo1245
aqc	Archi	arch1244
alu	'Are'are	area1240
aea	Areba	areb1238
mwc	Are	aree1239
aem	Arem	arem1240
qxu	Arequipa-La Unión Quechua	areq1237
aed	Argentine Sign Language	arge1236
agj	Argobba	argo1244
agf	Arguni	argu1237
aqr	Arhâ	arha1237
aok	Arhö	arho1237
arh	Arhuaco	arhu1242
ylu	Aribwaung	arib1240
laz	Aribwatsa	arib1241
aai	Arifama-Miniafia	arif1239
aqg	Arigidi	arig1246
aac	Ari	arii1243
ari	Arikara	arik1262
ait	Arikem	arik1264
ark	Arikapú	arik1265
xrn	Arin	arin1243
luc	Aringa	arin1244
aoh	Arma	arma1244
aen	Armenian Sign Language	arme1259
rup	Aromanian	arom1237
aps	Arop-Sissano	arop1242
apr	Arop-Lokep	arop1243
aia	Arosi	aros1241
atz	Arta	arta1239
msy	Aruamu	arua1260
arx	Arua (Rodonia State)	arua1261
aru	Aruá (Amazonas State)	arua1263
aur	Aruek	arue1240
lsr	Aruop	aruo1240
atx	Arutani	arut1244
aat	Arvanitika Albanian	arva1236
mtv	Asaro'o	asar1240
asd	Asas	asas1240
cni	Asháninka	asha1243
ahs	Ashe	ashe1269
prq	Ashéninka Perené	ashe1272
cjo	Ashéninka Pajonal	ashe1273
ask	Ashkun	ashk1246
csh	Asho Chin	asho1236
atn	Ashtiani	asht1244
asl	Asilulu	asil1242
eiv	Askopan	asko1238
asv	Asoa	asoa1238
asm	Assamese	assa1263
xss	Assan	assa1266
sjg	Assangori	assa1269
asb	Assiniboine	assi1247
asz	As	asss1237
aii	Assyrian Neo-Aramaic	assy1241
ast	Asturian	astu1245
psa	Asue Awyu	asue1235
aua	Asumboa	asum1237
aum	Asu (Nigeria)	asun1235
zoo	Asunción Mixtepec Zapotec	asun1236
asr	Asuri	asur1254
asa	Asu (Tanzania)	asut1235
atm	Ata (Philippines)	ataa1240
aqp	Atakapa	atak1252
amz	Atampaya	atam1239
atd	Ata Manobo	atam1240
mib	Atatláhuca Mixtec	atat1238
tay	Atayal	atay1247
ate	Atemble	atem1241
aph	Athpariya	athp1241
atk	Ati	atii1237
atj	Atikamekw	atik1240
aqm	Atohwaim	atoh1238
aot	A'tong	aton1241
ato	Atong	aton1242
aox	Atorada	ator1244
cch	Atsam	atsa1241
atc	Atsahuaca	atsa1242
atw	Atsugewi	atsu1245
pkr	Attapady Kurumba	atta1243
ati	Attié	atti1239
atf	Atuence	atue1238
ocu	Atzingo Matlatzinca	atzi1235
kud	'Auhelawa	auhe1237
aul	Aulua	aulu1238
aux	Aura	aura1243
auh	Aushi	aush1241
avs	Aushiri	aush1242
asq	Austrian Sign Language	aust1252
asw	Australian Aborigines Sign Language	aust1253
asf	Australian Sign Language	aust1271
aut	Austral	aust1304
avt	Au	auuu1241
auv	Auvergnat	auve1240
smf	Auwe	auwe1239
auu	Auye	auye1238
auo	Auyokawa	auyo1240
avv	Avá-Canoeiro	avac1239
ava	Avar	avar1256
avn	Avatime	avat1244
avb	Avau	avau1237
ave	Avestan	aves1237
avi	Avikam	avik1243
avu	Avokaya	avok1242
awk	Awabakal	awab1243
vwa	Awa (China)	awac1238
kwi	Awa-Cuaiquer	awac1239
awa	Awadhi	awad1243
bcu	Awad Bing	awad1244
awo	Awak	awak1250
awb	Awa (Papua New Guinea)	awap1236
awx	Awara	awar1248
aya	Awar	awar1249
awh	Awbono	awbo1238
bob	Aweer	awee1242
awr	Awera	awer1241
awe	Awetí	awet1244
azo	Awing	awin1248
auy	Awiyaana	awiy1238
auj	Awjilah	awji1241
awn	Awngi	awng1244
kmn	Awtuw	awtu1239
aww	Awun	awun1245
afu	Awutu	awut1241
yiu	Awu	awuu1235
auw	Awyi	awyi1241
ahb	Axamb	axam1237
yix	Axi Yi	axiy1235
ayd	Ayabadhu	ayab1239
quy	Ayacucho Quechua	ayac1239
vmy	Ayautla Mazatec	ayau1235
aye	Ayere	ayer1245
ayx	Ayi (China)	ayic1234
ayq	Ayi (Papua New Guinea)	ayip1235
nfl	Ayiwo	ayiw1239
yyz	Ayizi	ayiz1244
ayb	Ayizo Gbe	ayiz1245
zaf	Ayoquesco Zapotec	ayoq1235
ayo	Ayoreo	ayor1240
miy	Ayutla Mixtec	ayut1236
ayu	Ayu	ayuu1242
aza	Azha	azha1235
yiz	Azhe	azhe1235
tpc	Azoyú Me'phaa	azoy1236
bvj	Baan	baan1241
bqx	Baangi	baan1242
